"q15","q16","y3","y10","q14","Class"
"Somewhat agree","Strongly agree","Somewhat improved","Somewhat worsened","Significantly worsened","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat disagree","Neither agree nor disagree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Strongly agree","Stayed about the same","Not a barrier for me","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Not a barrier for me","Significantly improved","more.productivity"
"Somewhat agree","Somewhat disagree","Somewhat worsened","Not a barrier for me","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Strongly agree","Significantly worsened","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly worsened","Somewhat worsened","Significantly worsened","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Significantly worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Strongly disagree","Strongly disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Stayed about the same","Significantly improved","more.productivity"
"Somewhat disagree","Strongly agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Significantly improved","Significantly improved","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly worsened","Significantly worsened","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Significantly worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly disagree","Neither agree nor disagree","Significantly improved","Somewhat improved","Significantly worsened","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Significantly worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Somewhat worsened","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Neither agree nor disagree","Somewhat worsened","Stayed about the same","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Stayed about the same","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Somewhat worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Strongly agree","Stayed about the same","Somewhat improved","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Significantly worsened","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat improved","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Significantly improved","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Significantly worsened","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Stayed about the same","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Stayed about the same","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat worsened","Significantly worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Significantly improved","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Somewhat improved","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Significantly worsened","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Somewhat improved","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Significantly worsened","Significantly worsened","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Not a barrier for me","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat improved","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Significantly worsened","Somewhat improved","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly disagree","Strongly disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Stayed about the same","Somewhat improved","more.productivity"
"Strongly agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Neither agree nor disagree","Significantly worsened","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","more.productivity"
"Neither agree nor disagree","Strongly disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Somewhat agree","Significantly improved","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Neither agree nor disagree","Significantly worsened","Significantly worsened","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Stayed about the same","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Neither agree nor disagree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Significantly improved","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat disagree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Significantly improved","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Significantly improved","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat disagree","Strongly disagree","Significantly improved","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Not a barrier for me","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly disagree","Somewhat improved","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat worsened","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","same.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat worsened","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Significantly improved","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","same.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Significantly improved","Significantly improved","same.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","same.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Stayed about the same","same.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Not a barrier for me","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Not a barrier for me","Not a barrier for me","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","same.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Stayed about the same","Significantly improved","same.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Significantly worsened","Somewhat improved","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","same.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Not a barrier for me","same.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat improved","Somewhat worsened","Significantly worsened","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","same.productivity"
